ts_code,name,industry,list_date,market
600192.SH,长城电工,电气设备,19981224,主板
600195.SH,中牧股份,农业综合,19990107,主板
600196.SH,复星医药,化学制药,19980807,主板
600197.SH,伊力特,白酒,19990916,主板
600198.SH,大唐电信,通信设备,19981021,主板
600199.SH,金种子酒,白酒,19980812,主板
600201.SH,生物股份,农业综合,19990115,主板
600202.SH,哈空调,专用机械,19990603,主板
600203.SH,福日电子,元器件,19990514,主板
600206.SH,有研新材,半导体,19990319,主板
600207.SH,安彩高科,电气设备,19990714,主板
600208.SH,衢州发展,全国地产,19990623,主板
600210.SH,紫江企业,广告包装,19990824,主板
600211.SH,西藏药业,生物制药,19990721,主板
600212.SH,绿能慧充,电气设备,19990817,主板
600215.SH,派斯林,专用机械,19990909,主板
600216.SH,浙江医药,化学制药,19991021,主板
600217.SH,中再资环,环境保护,19991216,主板
600218.SH,全柴动力,汽车配件,19981203,主板
600219.SH,南山铝业,铝,19991223,主板
600221.SH,海航控股,空运,19991125,主板
600222.SH,太龙药业,中成药,19991105,主板
600223.SH,福瑞达,日用化工,20000113,主板
600226.SH,亨通股份,供气供热,19991116,主板
600227.SH,赤天化,农药化肥,20000221,主板
600229.SH,城市传媒,出版业,20000309,主板
600230.SH,沧州大化,化工原料,20000406,主板
600231.SH,凌钢股份,普钢,20000511,主板
600232.SH,金鹰股份,纺织机械,20000602,主板
600233.SH,圆通速递,仓储物流,20000608,主板
600234.SH,科新发展,装修装饰,20000615,主板
600235.SH,民丰特纸,造纸,20000615,主板
600236.SH,桂冠电力,水力发电,20000323,主板
600237.SH,铜峰电子,元器件,20000609,主板
600241.SH,时代万恒,电气设备,20001128,主板
600246.SH,万通发展,区域地产,20000922,主板
600248.SH,陕建股份,建筑工程,20000622,主板
600249.SH,两面针,日用化工,20040130,主板
600250.SH,南京商旅,商贸代理,20010306,主板
600251.SH,冠农股份,农业综合,20030609,主板
600252.SH,中恒集团,中成药,20001130,主板
600255.SH,鑫科材料,小金属,20001122,主板
600256.SH,广汇能源,石油开采,20000526,主板
600257.SH,大湖股份,渔业,20000612,主板
600258.SH,首旅酒店,酒店餐饮,20000601,主板
600259.SH,中稀有色,小金属,20000525,主板
600261.SH,阳光照明,家用电器,20000720,主板
600262.SH,北方股份,专用机械,20000630,主板
600266.SH,城建发展,区域地产,19990203,主板
600267.SH,海正药业,化学制药,20000725,主板
600268.SH,国电南自,电气设备,19991118,主板
600269.SH,赣粤高速,路桥,20000518,主板
600271.SH,航天信息,软件服务,20030711,主板
600272.SH,开开实业,医药商业,20010228,主板
600273.SH,嘉化能源,化工原料,20030627,主板
600276.SH,恒瑞医药,化学制药,20001018,主板
600278.SH,东方创业,商贸代理,20000712,主板
600279.SH,重庆港,港口,20000731,主板
600280.SH,中央商场,百货,20000926,主板
600281.SH,华阳新材,小金属,20001109,主板
600282.SH,南钢股份,普钢,20000919,主板
600283.SH,钱江水利,水务,20001018,主板
600284.SH,浦东建设,建筑工程,20040316,主板
600285.SH,羚锐制药,中成药,20001018,主板
600287.SH,苏豪时尚,商贸代理,20000901,主板
600288.SH,大恒科技,元器件,20001129,主板
600292.SH,电投水电,水力发电,20001101,主板
600293.SH,三峡新材,玻璃,20000919,主板
